,gun,skin,rarity,stattrak,quality,price,quantity
238,AK-47 , Frontside Misty,Classified,1, Battle-Scarred, 28.67, 22
239,AK-47 , Elite Build,Mil-Spec,0,Factory New, 6.49, 331
240,AK-47 , Elite Build,Mil-Spec,0,Minimal Wear, 2.88, 1767
241,AK-47 , Elite Build,Mil-Spec,0,Field-Tested, 1.99, 2764
242,AK-47 , Elite Build,Mil-Spec,0,Well-Worn, 1.57,N/A
243,AK-47 , Elite Build,Mil-Spec,0,Battle-Scarred, 1.3, 1974
244,AK-47 , Elite Build,Mil-Spec,1, Factory New, 27.41, 118
245,AK-47 , Elite Build,Mil-Spec,1, Minimal Wear, 9.68, 302
246,AK-47 , Elite Build,Mil-Spec,1, Field-Tested, 6.7, 414
247,AK-47 , Elite Build,Mil-Spec,1, Well-Worn, 5.4, 252
248,AK-47 , Elite Build,Mil-Spec,1, Battle-Scarred, 4.78, 220
249,AK-47 , Fire Serpent,Covert,0,Factory New, 1323.27, 1
250,AK-47 , Fire Serpent,Covert,0,Minimal Wear, 633.55, 8
251,AK-47 , Fire Serpent,Covert,0,Field-Tested, 439.04, 17
252,AK-47 , Fire Serpent,Covert,0,Well-Worn, 645.91, 1
253,AK-47 , Fire Serpent,Covert,0,Battle-Scarred, 274.2, 6
254,AK-47 , Fire Serpent,Covert,1, Factory New, 2899.99,N/A
255,AK-47 , Fire Serpent,Covert,1, Minimal Wear, 1564.64,N/A
256,AK-47 , Fire Serpent,Covert,1, Field-Tested, 1248.11, 1
257,AK-47 , Fire Serpent,Covert,1, Well-Worn, 1067.95, 1
258,AK-47 , Fire Serpent,Covert,1, Battle-Scarred, 672.58,N/A
259,AK-47 , Neon Rider,Covert,0,Factory New, 90.94, 22
260,AK-47 , Neon Rider,Covert,0,Minimal Wear, 55.72, 40
261,AK-47 , Neon Rider,Covert,0,Field-Tested, 34.53, 62
262,AK-47 , Neon Rider,Covert,0,Well-Worn, 38.69, 13
263,AK-47 , Neon Rider,Covert,0,Battle-Scarred, 26, 27
264,AK-47 , Neon Rider,Covert,1, Factory New, 325.73, 9
265,AK-47 , Neon Rider,Covert,1, Minimal Wear, 149.77, 12
266,AK-47 , Neon Rider,Covert,1, Field-Tested, 82, 11
267,AK-47 , Neon Rider,Covert,1, Well-Worn, 87.36, 4
268,AK-47 , Neon Rider,Covert,1, Battle-Scarred, 52.16, 10
269,AK-47 , Baroque Purple,Industrial,0,Factory New, 7.96, 148
270,AK-47 , Baroque Purple,Industrial,0,Minimal Wear, 2.64, 610
271,AK-47 , Baroque Purple,Industrial,0,Field-Tested, 1.38, 1163
272,AK-47 , Baroque Purple,Industrial,0,Well-Worn, 1.2, 463
273,AK-47 , Baroque Purple,Industrial,0,Battle-Scarred, 1.23, 367
274,AK-47 , Jungle Spray,Industrial,0,Factory New, 37.72, 9
275,AK-47 , Jungle Spray,Industrial,0,Minimal Wear, 5.55, 121
276,AK-47 , Jungle Spray,Industrial,0,Field-Tested, 2.42, 316
277,AK-47 , Jungle Spray,Industrial,0,Well-Worn, 3.19, 54
278,AK-47 , Jungle Spray,Industrial,0,Battle-Scarred, 2.91, 98
279,AK-47 , Rat Rod,Restricted,0,Factory New, 10.37, 85
280,AK-47 , Rat Rod,Restricted,0,Minimal Wear, 5.43, 221
281,AK-47 , Rat Rod,Restricted,0,Field-Tested, 3.72, 506
282,AK-47 , Rat Rod,Restricted,0,Well-Worn, 3.49, 230
283,AK-47 , Rat Rod,Restricted,0,Battle-Scarred, 3.5, 158
284,AK-47 , Rat Rod,Restricted,1, Factory New, 31.76, 31
285,AK-47 , Rat Rod,Restricted,1, Minimal Wear, 16.98, 72
286,AK-47 , Rat Rod,Restricted,1, Field-Tested, 12.32, 60
287,AK-47 , Rat Rod,Restricted,1, Well-Worn, 11.86, 38
288,AK-47 , Rat Rod,Restricted,1, Battle-Scarred, 11.22, 38
289,AK-47 , Wild Lotus,Covert,0,Factory New, 1832.36,N/A
290,AK-47 , Wild Lotus,Covert,0,Minimal Wear, 1698.68,N/A
291,AK-47 , Wild Lotus,Covert,0,Field-Tested, 1500, 3
292,AK-47 , Wild Lotus,Covert,0,Well-Worn, 1036.15, 4
293,AK-47 , Wild Lotus,Covert,0,Battle-Scarred, 651.2, 4
294,AUG , Syd Mead,Classified,0,Factory New, 8.1, 112
295,AUG , Syd Mead,Classified,0,Minimal Wear, 3.58, 249
296,AUG , Syd Mead,Classified,0,Field-Tested, 1.89, 319
297,AUG , Syd Mead,Classified,0,Well-Worn, 2.49, 53
298,AUG , Syd Mead,Classified,0,Battle-Scarred, 1.96, 98
299,AUG , Syd Mead,Classified,1, Factory New, 34.08, 29
300,AUG , Syd Mead,Classified,1, Minimal Wear, 12.85, 58
301,AUG , Syd Mead,Classified,1, Field-Tested, 5.32, 84
302,AUG , Syd Mead,Classified,1, Well-Worn, 6.1, 26
303,AUG , Syd Mead,Classified,1, Battle-Scarred, 4.44, 39
304,AUG , Wings,Mil-Spec,0,Factory New, 3.53, 327
305,AUG , Wings,Mil-Spec,0,Minimal Wear, 3.47, 93
306,AUG , Wings,Mil-Spec,1, Factory New, 5.43, 214
307,AUG , Wings,Mil-Spec,1, Minimal Wear, 4.94, 79
308,AUG , Bengal Tiger,Classified,0,Factory New, 36.11, 8
309,AUG , Bengal Tiger,Classified,0,Minimal Wear, 6.82, 68
310,AUG , Bengal Tiger,Classified,0,Field-Tested, 3.3, 86
311,AUG , Bengal Tiger,Classified,0,Well-Worn, 3.24, 27
312,AUG , Bengal Tiger,Classified,0,Battle-Scarred, 3.12, 24
313,AUG , Bengal Tiger,Classified,1, Factory New, 134.35, 8
314,AUG , Bengal Tiger,Classified,1, Minimal Wear, 24.5, 14
315,AUG , Bengal Tiger,Classified,1, Field-Tested, 9.67, 32
316,AUG , Bengal Tiger,Classified,1, Well-Worn, 9.4, 17
317,AUG , Bengal Tiger,Classified,1, Battle-Scarred, 8.32, 19
318,AUG , Ricochet,Mil-Spec,0,Factory New, 1.52, 230
319,AUG , Ricochet,Mil-Spec,0,Minimal Wear, 0.72,N/A
320,AUG , Ricochet,Mil-Spec,0,Field-Tested, 0.29, 1171
321,AUG , Ricochet,Mil-Spec,0,Well-Worn, 0.75, 239
322,AUG , Ricochet,Mil-Spec,0,Battle-Scarred, 0.19, 813
323,AUG , Ricochet,Mil-Spec,1, Factory New, 6.23, 53
324,AUG , Ricochet,Mil-Spec,1, Minimal Wear, 2.59, 149
325,AUG , Ricochet,Mil-Spec,1, Field-Tested, 1.1, 331
326,AUG , Ricochet,Mil-Spec,1, Well-Worn, 2.19, 31
327,AUG , Ricochet,Mil-Spec,1, Battle-Scarred, 0.95, 181
328,AUG , Navy Murano,Consumer,0,Factory New, 0.7, 299
329,AUG , Navy Murano,Consumer,0,Minimal Wear, 0.18, 2538
330,AUG , Navy Murano,Consumer,0,Field-Tested, 0.1, 4874
331,AUG , Navy Murano,Consumer,0,Well-Worn, 0.1, 4823
332,AUG , Navy Murano,Consumer,0,Battle-Scarred, 0.09, 2590
333,AUG , Colony,Consumer,0,Factory New, 5.13, 33
334,AUG , Colony,Consumer,0,Minimal Wear, 0.54, 84
335,AUG , Colony,Consumer,0,Field-Tested, 0.25, 167
336,AUG , Colony,Consumer,0,Well-Worn, 0.29, 92
337,AUG , Colony,Consumer,0,Battle-Scarred, 0.24, 121
338,AUG , Colony,Consumer,1, Factory New, 6.15, 10
339,AUG , Colony,Consumer,1, Minimal Wear, 0.63, 182
340,AUG , Colony,Consumer,1, Field-Tested, 0.26, 489
341,AUG , Colony,Consumer,1, Well-Worn, 0.5, 162
342,AUG , Colony,Consumer,1, Battle-Scarred, 0.3, 184
343,AUG , Fleet Flock,Classified,0,Factory New, 13.43, 45
344,AUG , Fleet Flock,Classified,0,Minimal Wear, 4.34, 102
345,AUG , Fleet Flock,Classified,0,Field-Tested, 2.15, 138
346,AUG , Fleet Flock,Classified,0,Well-Worn, 2.09, 95
347,AUG , Fleet Flock,Classified,0,Battle-Scarred, 2.04, 65
348,AUG , Fleet Flock,Classified,1, Factory New, 55.35, 15
349,AUG , Fleet Flock,Classified,1, Minimal Wear, 13.88, 29
350,AUG , Fleet Flock,Classified,1, Field-Tested, 6.33, 46
351,AUG , Fleet Flock,Classified,1, Well-Worn, 4.99, 36
352,AUG , Fleet Flock,Classified,1, Battle-Scarred, 4.64, 28
353,AUG , Sweeper,Consumer,0,Factory New, 0.09, 1883
354,AUG , Sweeper,Consumer,0,Minimal Wear, 0.05, 5164
355,AUG , Sweeper,Consumer,0,Field-Tested, 0.05, 9648
356,AUG , Sweeper,Consumer,0,Well-Worn, 0.05, 1274
357,AUG , Sweeper,Consumer,0,Battle-Scarred, 0.05, 2354
358,AUG , Sweeper,Consumer,1, Factory New, 0.87, 342
359,AUG , Sweeper,Consumer,1, Minimal Wear, 0.54, 297
360,AUG , Sweeper,Consumer,1, Field-Tested, 0.28, 501
361,AUG , Sweeper,Consumer,1, Well-Worn, 0.53, 66
362,AUG , Sweeper,Consumer,1, Battle-Scarred, 0.34, 109
363,AUG , Death by Puppy,Classified,0,Factory New, 7.49, 137
364,AUG , Death by Puppy,Classified,0,Minimal Wear, 5.11, 168
365,AUG , Death by Puppy,Classified,0,Field-Tested, 3.94, 111
366,AUG , Death by Puppy,Classified,0,Well-Worn, 3.74, 24
367,AUG , Death by Puppy,Classified,1, Factory New, 21.22, 43
368,AUG , Death by Puppy,Classified,1, Minimal Wear, 13.24, 37
369,AUG , Death by Puppy,Classified,1, Field-Tested, 9.62, 15
370,AUG , Death by Puppy,Classified,1, Well-Worn, 7.97, 9
371,AUG , Stymphalian,Classified,0,Factory New, 6.11, 145
372,AUG , Stymphalian,Classified,0,Minimal Wear, 3.3, 223
373,AUG , Stymphalian,Classified,0,Field-Tested, 1.96, 219
374,AUG , Stymphalian,Classified,0,Well-Worn, 2.13, 58
375,AUG , Stymphalian,Classified,0,Battle-Scarred, 1.87, 92
376,AUG , Stymphalian,Classified,1, Factory New, 21.02, 57
377,AUG , Stymphalian,Classified,1, Minimal Wear, 9.17, 54
378,AUG , Stymphalian,Classified,1, Field-Tested, 4.65, 67
379,AUG , Stymphalian,Classified,1, Well-Worn, 4.76, 35
380,AUG , Stymphalian,Classified,1, Battle-Scarred, 4.14, 37
